date,ncases,ndeaths,tvax
2020-01-31,2,,
2020-02-01,0,,
2020-02-02,0,,
2020-02-03,6,,
2020-02-04,0,,
2020-02-05,1,,
2020-02-06,0,,
2020-02-07,0,,
2020-02-08,4,,
2020-02-09,1,,
2020-02-10,0,,
2020-02-11,1,,
2020-02-12,1,,
2020-02-13,1,,
2020-02-14,1,,
2020-02-15,0,,
2020-02-16,0,,
2020-02-17,1,,
2020-02-18,0,,
2020-02-19,1,,
2020-02-20,2,,
2020-02-21,1,,
2020-02-22,0,,
2020-02-23,5,,
2020-02-24,2,,
2020-02-25,4,,
2020-02-26,3,,
2020-02-27,7,,
2020-02-28,12,,
2020-02-29,5,,
2020-03-01,33,,
2020-03-02,40,,
2020-03-03,55,,
2020-03-04,57,,
2020-03-05,49,,
2020-03-06,79,1,
2020-03-07,55,1,
2020-03-08,54,0,
2020-03-09,147,1,
2020-03-10,259,4,
2020-03-11,412,0,
2020-03-12,489,2,
2020-03-13,480,1,
2020-03-14,364,19,
2020-03-15,443,14,
2020-03-16,615,23,
2020-03-17,770,17,
2020-03-18,1006,35,
2020-03-19,1066,46,
2020-03-20,1258,32,
2020-03-21,1215,58,
2020-03-22,1388,35,
2020-03-23,2349,76,
2020-03-24,2382,148,
2020-03-25,2717,191,
2020-03-26,3127,182,
2020-03-27,3249,288,
2020-03-28,2843,292,
2020-03-29,2892,213,
2020-03-30,4327,374,
2020-03-31,4534,404,
2020-04-01,4974,673,
2020-04-02,4929,657,
2020-04-03,4981,737,
2020-04-04,4073,757,
2020-04-05,3650,601,
2020-04-06,5316,570,
2020-04-07,5486,1105,
2020-04-08,5163,1032,
2020-04-09,4906,1117,
2020-04-10,4367,1123,
2020-04-11,3613,844,
2020-04-12,3539,657,
2020-04-13,4205,725,
2020-04-14,4348,1080,
2020-04-15,5100,884,
2020-04-16,5343,1040,
2020-04-17,4990,914,
2020-04-18,4736,1108,
2020-04-19,3860,433,
2020-04-20,4866,576,
2020-04-21,4775,1224,
2020-04-22,5505,857,
2020-04-23,5168,684,
2020-04-24,4981,1018,
2020-04-25,3764,816,
2020-04-26,3473,364,
2020-04-27,4704,323,
2020-04-28,4727,971,
2020-04-29,5450,771,
2020-04-30,4964,636,
2020-05-01,4730,700,
2020-05-02,3230,585,
2020-05-03,2977,253,
2020-05-04,3383,273,
2020-05-05,3689,725,
2020-05-06,3836,647,
2020-05-07,3771,458,
2020-05-08,3052,580,
2020-05-09,2150,275,
2020-05-10,2322,217,
2020-05-11,3589,188,
2020-05-12,3395,615,
2020-05-13,3300,448,
2020-05-14,2618,353,
2020-05-15,2521,351,
2020-05-16,2072,411,
2020-05-17,1826,67,
2020-05-18,2577,146,
2020-05-19,3058,501,
2020-05-20,2712,329,
2020-05-21,2554,273,
2020-05-22,2041,291,
2020-05-23,1508,220,
2020-05-24,1355,379,
2020-05-25,1613,104,
2020-05-26,1659,131,
2020-05-27,1809,422,
2020-05-28,1736,343,
2020-05-29,1508,274,
2020-05-30,1107,154,
2020-05-31,1070,60,
2020-06-01,1444,86,
2020-06-02,1470,250,
2020-06-03,1349,254,
2020-06-04,1238,130,
2020-06-05,1110,258,
2020-06-06,794,143,
2020-06-07,718,54,
2020-06-08,1094,47,
2020-06-09,1159,197,
2020-06-10,1186,164,
2020-06-11,1007,76,
2020-06-12,1054,131,
2020-06-13,888,107,
2020-06-14,807,27,
2020-06-15,1031,29,
2020-06-16,1083,120,
2020-06-17,999,110,
2020-06-18,1020,67,
2020-06-19,984,84,
2020-06-20,666,71,
2020-06-21,624,31,
2020-06-22,892,13,
2020-06-23,882,94,
2020-06-24,777,87,
2020-06-25,697,99,
2020-06-26,639,77,
2020-06-27,634,40,
2020-06-28,407,31,
2020-06-29,620,21,
2020-06-30,404,54,
2020-07-01,63,97,
2020-07-02,6,41,
2020-07-03,502,49,
2020-07-04,625,32,
2020-07-05,519,19,
2020-07-06,359,11,
2020-07-07,584,54,
2020-07-08,637,57,
2020-07-09,643,31,
2020-07-10,524,34,
2020-07-11,826,17,
2020-07-12,650,9,
2020-07-13,537,10,
2020-07-14,1240,44,
2020-07-15,538,26,
2020-07-16,647,24,
2020-07-17,687,26,
2020-07-18,829,9,
2020-07-19,726,11,
2020-07-20,586,10,
2020-07-21,445,25,
2020-07-22,563,17,
2020-07-23,779,9,
2020-07-24,769,32,
2020-07-25,770,15,
2020-07-26,750,8,
2020-07-27,688,3,
2020-07-28,553,21,
2020-07-29,802,34,
2020-07-30,847,0,
2020-07-31,883,20,
2020-08-01,769,13,
2020-08-02,747,5,
2020-08-03,942,1,
2020-08-04,675,18,
2020-08-05,906,14,
2020-08-06,964,18,
2020-08-07,900,12,
2020-08-08,765,3,
2020-08-09,1113,5,
2020-08-10,818,18,
2020-08-11,1150,13,
2020-08-12,1039,20,
2020-08-13,1148,18,
2020-08-14,1461,11,
2020-08-15,1042,3,
2020-08-16,1111,5,
2020-08-17,721,3,
2020-08-18,1113,12,
2020-08-19,831,17,
2020-08-20,1195,6,
2020-08-21,1060,2,
2020-08-22,1332,18,
2020-08-23,1048,6,
2020-08-24,977,4,
2020-08-25,1201,16,
2020-08-26,1146,17,
2020-08-27,1542,12,
2020-08-28,1297,9,
2020-08-29,1110,12,
2020-08-30,1752,1,
2020-08-31,1415,3,
2020-09-01,1332,3,
2020-09-02,1514,10,
2020-09-03,1779,14,
2020-09-04,1978,10,
2020-09-05,1827,12,
2020-09-06,2987,2,
2020-09-07,2953,3,
2020-09-08,2481,32,
2020-09-09,2681,8,
2020-09-10,2931,14,
2020-09-11,3544,6,
2020-09-12,3504,9,
2020-09-13,3338,5,
2020-09-14,2625,9,
2020-09-15,3115,27,
2020-09-16,4007,20,
2020-09-17,3410,21,
2020-09-18,4329,27,
2020-09-19,4429,27,
2020-09-20,3899,18,
2020-09-21,4378,11,
2020-09-22,4936,37,
2020-09-23,6187,37,
2020-09-24,6644,40,
2020-09-25,6878,34,
2020-09-26,6050,35,
2020-09-27,5700,17,
2020-09-28,4056,13,
2020-09-29,7156,72,
2020-09-30,7117,71,
2020-10-01,6929,59,
2020-10-02,6994,66,
2020-10-03,12885,49,
2020-10-04,22965,33,
2020-10-05,12603,19,
2020-10-06,14557,76,
2020-10-07,14173,70,
2020-10-08,17550,77,
2020-10-09,13888,87,
2020-10-10,15175,81,
2020-10-11,12882,65,
2020-10-12,14011,50,
2020-10-13,17250,143,
2020-10-14,19751,137,
2020-10-15,18996,138,
2020-10-16,15657,136,
2020-10-17,16186,150,
2020-10-18,16994,67,
2020-10-19,18830,80,
2020-10-20,21365,241,
2020-10-21,26707,191,
2020-10-22,21257,189,
2020-10-23,20559,224,
2020-10-24,23033,174,
2020-10-25,19797,151,
